avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,kindle_price
4.29,352.0,"26,018","2,329",2011-08-30 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2011,8,4,$9.99
4.19,373.0,"27,561","3,401",2012-08-28 00:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2012,8,3,$9.99
4.41,405.0,"30,330","3,634",2013-08-27 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2013,8,3,$2.99
3.67,485.0,"59,338","4,258",2010-08-31 00:00:00,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2010,8,0,
3.67,485.0,"59,337","4,258",2010-08-31 00:00:00,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2010,8,0,
3.97,425.0,"28,938","1,528",2011-08-30 00:00:00,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2011,8,0,$5.39
3.86,326.0,"12,132","2,231",2012-06-19 00:00:00,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2012,6,3,$7.8
3.93,324.0,539,62,2011-09-13 00:00:00,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2011,9,0,$9.99
3.76,340.0,"3,602",459,2011-01-18 00:00:00,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2011,1,0,$7.99
4.07,310.0,"58,792","6,342",2011-02-01 00:00:00,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2011,2,3,$8.99
3.68,352.0,"15,427","1,577",2012-05-22 00:00:00,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2012,5,0,$7.8
3.68,352.0,"15,425","1,577",2012-05-22 00:00:00,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2012,5,0,$7.8
3.93,396.0,"5,872",461,2012-11-13 00:00:00,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2012,11,0,
4.13,64.0,"9,935",222,1986-08-15 00:00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1986,8,0,$0.99
4.11,979.0,"90,978","1,551",1995-09-15 00:00:00,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1995,9,2,$7.36
4.11,979.0,"90,973","1,551",1995-09-15 00:00:00,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1995,9,2,$7.36
3.58,221.0,40,4,1997-03-01 00:00:00,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1997,3,0,
3.77,592.0,"116,979","3,295",1996-07-15 00:00:00,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1996,7,3,$8.99
3.77,592.0,"116,966","3,295",1996-07-15 00:00:00,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1996,7,3,$8.99
3.89,256.0,"2,219",61,1997-11-15 00:00:00,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1997,11,0,$6.99
3.82,704.0,"69,799","1,666",2003-01-07 00:00:00,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2003,1,0,$9.99
3.99,317.0,"104,298","4,416",1997-09-15 00:00:00,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1997,9,0,$8.09
3.99,317.0,"104,294","4,416",1997-09-15 00:00:00,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1997,9,0,$8.09
3.9,316.0,"5,766",494,1999-01-09 00:00:00,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1999,1,1,$7.99
