Unnamed: 0,avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Unnamed: 9,year,date_key,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,Unnamed: 67
2949,4.12,301.0,"22,441","4,964",3/27/2014 0:00,03-27,2014,2017-03-27,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,3,3,
2964,4.17,302.0,"6,607",528,10/17/2014 0:00,10-17,2014,2017-10-17,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,10,0,
3039,3.72,256.0,32,9,7/1/2014 0:00,07-01,2014,2017-07-01,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2014,7,0,
3040,4.31,531.0,"578,459","55,237",5/6/2014 0:00,05-06,2014,2017-05-06,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2014,5,10,
3074,4.08,343.0,"20,515","1,724",3/17/2014 0:00,03-17,2014,2017-03-17,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,3,0,
3106,4.44,,387,65,6/10/2014 0:00,06-10,2014,2017-06-10,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,6,0,
3107,3.67,209.0,"11,616","2,210",6/3/2014 0:00,06-03,2014,2017-06-03,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2014,6,2,
3203,4.13,158.0,16,10,10/31/2014 0:00,10-31,2014,2017-10-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,10,0,
3216,4.67,112.0,21,8,10/28/2014 0:00,10-28,2014,2017-10-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,10,0,
3217,3.58,335.0,153,37,10/1/2014 0:00,10-01,2014,2017-10-01,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,10,3,
3223,3.86,400.0,"1,295",256,10/10/2014 0:00,10-10,2014,2017-10-10,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,10,0,
3225,4.04,147.0,109,61,12/11/2014 0:00,12-11,2014,2017-12-11,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,12,0,
3230,4.06,,51,7,8/29/2014 0:00,08-29,2014,2017-08-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2014,8,0,
3231,4.31,,32,15,9/26/2014 0:00,09-26,2014,2017-09-26,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,9,0,
3232,4.43,215.0,51,26,7/31/2014 0:00,07-31,2014,2017-07-31,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,7,0,
3233,3.78,299.0,299,92,8/2/2014 0:00,08-02,2014,2017-08-02,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,0,
3234,4.04,112.0,25,15,12/8/2014 0:00,12-08,2014,2017-12-08,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,12,0,
