,Urban Fantasy,Academic,Detective,Chick Lit,Young Adult,Womens Fiction,Paranormal Romance,Memoir,Thriller,Realistic Fiction,Dystopia,Science Fiction,Paranormal,Adventure,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Magic,Philosophy,Romance,Middle Grade,Suspense,History,War,Classics,Christian,Childrens,Autobiography,Psychology,Religion,Contemporary,Literature,Biography,Teen,European Literature,Contemporary Romance,Vampires,Adult Fiction,Humor,Mystery Thriller,Short Stories,Cultural,Historical Fiction,New Adult,Horror,year,female_to_male_ratio
46,,,,,,,,,,,,0.0,,,,,0.0,0.33333333333333337,,,,,,,,,,,,0.2777777777777778,,0.6666666666666667,,,,,0.0,,,,,,,0.8333333333333334,,,0.0,0.0,,0.0,1958,
47,,,,,4.5,,,,,,,,,,,,,4.5,,,4.5,,,,,,,,,4.5,,4.5,,,,,,,,,,,,,,,,,,,1959,
48,,0.0,,,1.5,,,,,,,,,,,,,0.5,,,1.5,,,,,,,,,0.0,,1.5,,,,,0.0,,,0.0,,,,,,,0.0,,,,1960,
49,,,,,inf,,,,,,,,,,,,1.25,0.6679292929292929,1.5,,inf,,,,,,,,,0.47222222222222227,,inf,,,,,0.0,,,0.08333333333333333,,,,,,,0.08333333333333333,1.25,,,1961,
50,,,,,,,,,,,,,,,0.5,,,0.5,,,,0.6363636363636364,,0.6363636363636364,,,,,,0.5909090909090909,,1.2,,,,,0.5,,,0.6363636363636364,,,,,,,,,,,1962,
51,,,,,,,,,,,,,,,,,,0.275,,,,,,,,,,,,0.275,,,,0.275,,,0.275,,,,,,,,,,,,,,1963,
52,,,,,,,,,,,,,,,0.4117647058823529,,0.18181818181818182,0.40106951871657753,,,,0.24786324786324787,,0.31154684095860563,,,,0.24786324786324787,,0.35729629847276906,,0.5,0.38461538461538464,0.1111111111111111,,0.1111111111111111,0.33511586452762926,0.38461538461538464,,0.38461538461538464,,,,,,0.4117647058823529,,0.18181818181818182,,,1964,
53,,,,,1.3333333333333333,,,,1.3333333333333333,,,,,1.3333333333333333,,,0.5333333333333333,0.9333333333333333,,,1.3333333333333333,,,,,1.3333333333333333,1.3333333333333333,,,0.9333333333333333,,1.3333333333333333,,,,,0.5333333333333333,,,0.5333333333333333,,,,,1.3333333333333333,,,0.5333333333333333,,,1965,
54,,,,,,,,,,,,,,,,4.0,,4.0,,,,0.8,,0.8,,,,,,2.9333333333333336,,,,,,,4.0,,,0.8,,,,,,,4.0,,,,1966,
55,,,,,,,,,0.75,,,,,0.75,1.0,,,0.9166666666666666,,,0.875,0.4,,0.6166666666666667,,,,,,0.9444444444444445,,1.0,,0.8333333333333334,0.6166666666666667,,,,,,,,,,,1.0,0.8333333333333334,,,1.0,1967,
56,,,,,inf,,,,,,,,,,inf,,,inf,,,inf,0.16666666666666666,,0.16666666666666666,inf,,,0.0,,0.5,,inf,,0.0,,,,,inf,0.0,,,,,,,,,,,1968,
57,,,,,,,,,,,,,,,,,,inf,inf,,inf,,,0.75,,,,,,0.6666666666666666,,0.5,,,,,0.6666666666666666,,,0.6666666666666666,,,,,,inf,0.6666666666666666,,,,1969,
58,,0.75,,,,,,,,,,,,,,0.5,0.3076923076923077,0.5,,,,0.20512820512820515,,0.3076923076923077,,,,0.20512820512820515,,0.5288461538461539,,,0.0,,,,0.6666666666666666,0.0,,0.75,,,,,,,0.25,,,,1970,
59,,,,,,,,,,,,0.75,,,,0.9,1.4333333333333333,1.16,,,2.0,0.9444444444444443,,0.6666666666666666,2.0,,,0.9444444444444443,,1.0222222222222221,1.5,,0.6666666666666666,,,,1.25,0.9444444444444443,,1.25,,,,,,,1.3333333333333333,1.4,,,1971,
60,,0.3,1.4,,0.23333333333333334,,,0.20833333333333334,,,,,,,2.0,,inf,inf,inf,,inf,1.011904761904762,,2.0,,,,0.8333333333333334,0.8333333333333334,0.7433333333333334,,0.23333333333333334,0.20833333333333334,2.5,2.5,,1.1666666666666667,0.20833333333333334,,,,,,,,1.5,0.8333333333333334,inf,,,1972,
61,,,1.2,,0.5416666666666666,,,,0.4,,,1.1944444444444444,,,0.5416666666666666,,,0.9976190476190476,1.0,,1.0,,,,,,,,,0.49444444444444446,,0.5416666666666666,,,,,2.5,,,1.0,,,,,0.4,,1.45,,,,1973,
62,,,,,,,,0.23809523809523808,1.0,,,0.5217391304347826,,,0.3333333333333333,,0.35238095238095235,0.5072463768115942,,,0.875,0.23809523809523808,,0.16666666666666666,,,1.0,0.23809523809523808,0.23809523809523808,0.31233362910381546,0.23809523809523808,0.6,0.23809523809523808,0.0,,,0.3333333333333333,0.23809523809523808,,0.3333333333333333,,,,,1.0,0.3333333333333333,,0.4666666666666667,,,1974,
63,,,,,inf,,,,0.7037037037037037,,,0.5694444444444444,,2.0,0.2888888888888889,1.0,0.34920634920634924,inf,1.0,,inf,1.2,,1.0,0.5555555555555556,,0.5555555555555556,1.3333333333333333,0.3333333333333333,0.5452380952380953,1.0,inf,,1.0,1.0,,0.0,1.3333333333333333,,0.7023809523809523,,,,,,0.8888888888888888,1.0714285714285714,0.34920634920634924,,,1975,
